,FirstName,MI,LastName,Email,Password,SSN,Address,ZipCode,Phone,Birthday
0,Albert,F,Taylor,taylor@bevosbooks.com,TRY563,645889563,467 Nueces St.,75237,2149036025,1954-08-14 00:00:00
1,Molly,R,Sheffield,sheffield@bevosbooks.com,longsnores,334557278,3886 Avenue A,78736,5124749225,1986-08-27 00:00:00
2,Jenny,I,MacLeod,macleod@bevosbooks.com,kittys,886719249,2504 Far West Blvd.,78731,5124723769,1984-12-05 00:00:00
3,Michelle,N,Rhodes,rhodes@bevosbooks.com,puppies,999990909,4587 Enfield Rd.,78293,2102520380,1972-07-02 00:00:00
4,Evan,Q,Stuart,stuart@bevosbooks.com,coolboi,212121212,5576 Toro Ring,78279,2105415031,1984-04-17 00:00:00
5,Ron,P,Swanson,swanson@bevosbooks.com,swanbong,444444444,245 River Rd,78731,5124818542,1991-07-25 00:00:00
6,Jabriel,M,White,white@bevosbooks.com,456789,666666666,12 Valley View,77045,8175025605,1986-03-17 00:00:00
7,Washington,X,Montgomery,montgomery@bevosbooks.com,python4,676767676,210 Blanco Dr,77030,8178817122,1961-05-04 00:00:00
8,Lisa,O,Walker,walker@bevosbooks.com,walkameter,323232323,9 Bison Circle,75238,2143196301,2003-04-18 00:00:00
9,Gregory,J,Chang,chang@bevosbooks.com,pupgang,111222233,9003 Joshua St,78260,2103521329,1958-04-26 00:00:00
10,Derek,X,Dreibrodt,derek@bevosbooks.com,2cool4u,151515157,4 Privet Dr,78705,5125556789,2001-01-01 00:00:00
11,Amy,K,Rester,rester@bevosbooks.com,KIzGreat,878787878,2110 Speedway,78705,2103521329,2000-01-01 00:00:00
