,FirstName,MI,LastName,Email,Password,SSN,Address,ZipCode,Phone,Birthday
0,Todd,L,Jacobs,jacobs@bevosbooks.com,tj2245,222222222,4564 Elm St.,77003,8176663948,1978-01-29 00:00:00
1,Eryn,M,Rice,rice@bevosbooks.com,ricearoni,111111111,3405 Rio Grande,75261,2148545987,2003-06-11 00:00:00
2,John,R,Ingram,ingram@bevosbooks.com,ingram68,545454545,6548 La Posada Ct.,78705,5127049017,1980-06-25 00:00:00
3,Paul,G,Martinez,martinez@bevosbooks.com,party1,574677829,8295 Sunset Blvd.,78239,2105859369,1969-06-25 00:00:00
4,Jared,F,Tanner,tanner@bevosbooks.com,sandman,888887878,4347 Almstead,78761,5129527803,1979-06-02 00:00:00
5,Lauren,R,Chung,chung@bevosbooks.com,listen,333333333,234 RR 12,78268,2107053952,1976-03-24 00:00:00
6,Wandavison,T,Loter,loter@bevosbooks.com,pottery,555555555,3453 RR 3235,78732,5124650249,1966-09-23 00:00:00
7,Heather,R,Morales,morales@bevosbooks.com,heckin,898989898,4501 RR 140,77031,8177529019,1971-01-16 00:00:00
8,Martin,P,Rankin,rankin@bevosbooks.com,rankmark,999888777,340 Second St,78703,5122997370,1961-05-16 00:00:00
9,Garth,R,Gonzalez,gonzalez@bevosbooks.com,gg2017,499551454,103 Manor Rd,75260,2142415970,1993-12-10 00:00:00
