,email,card_num,card_type
0,wendy@puppy.com,4675645728421114,Visa
1,wendy@puppy.com,5503127677370884,MasterCard
2,wendy@puppy.com,6256807128623222,Discover
3,jorge@hootmail.com,4950958175592751,Visa
4,tuck33@puppy.com,3699615701590378,American Express
5,tuck33@puppy.com,6211198035367129,Discover
6,luce_chuck@puppy.com,3471771011863082,American Express
7,luce_chuck@puppy.com,5213380951061278,MasterCard
8,westj@pioneer.net,4456007408951970,Visa
9,taylordjay@puppy.com,6722087214695361,Discover
10,taylordjay@puppy.com,5393288375971482,MasterCard
11,ss34@puppy.com,3205012010695848,American Express
12,ss34@puppy.com,5852275483583440,MasterCard
13,hicks43@puppy.com,3655719856572829,American Express
14,hicks43@puppy.com,4922220996800874,Visa
15,hicks43@puppy.com,4315122297470156,Visa
16,orielly@foxnets.com,5771359616496493,MasterCard
17,erynrice@puppy.com,5748124811574140,MasterCard
18,limchou@puppy.com,6307018670622924,Discover
